Image,Detected_Classes,Class_Frequencies
img/74016.png,"['person', 'motorcycle', 'sports ball', 'horse', 'cow', 'backpack', 'skateboard']","{'person': 24, 'motorcycle': 10, 'sports ball': 1, 'horse': 15, 'cow': 2, 'backpack': 1, 'skateboard': 1}"
img/26347.png,"['person', 'dog', 'cow', 'bear', 'bird', 'horse', 'elephant', 'sheep']","{'person': 5, 'dog': 3, 'cow': 1, 'bear': 1, 'bird': 1, 'horse': 3, 'elephant': 1, 'sheep': 1}"
img/89105.png,"['person', 'couch', 'bed']","{'person': 1, 'couch': 2, 'bed': 1}"
img/57932.png,"['person', 'couch']","{'person': 3, 'couch': 1}"
img/52971.png,"['person', 'remote']","{'person': 1, 'remote': 1}"
img/04615.png,"['person', 'hot dog', 'umbrella', 'banana', 'bottle', 'cell phone', 'baseball glove', 'remote', 'bed']","{'person': 4, 'hot dog': 7, 'umbrella': 1, 'banana': 5, 'bottle': 1, 'cell phone': 1, 'baseball glove': 1, 'remote': 1, 'bed': 1}"
img/01936.png,"['boat', 'suitcase', 'bed', 'train', 'bird']","{'boat': 2, 'suitcase': 2, 'bed': 1, 'train': 1, 'bird': 1}"
img/17546.png,"['person', 'cat']","{'person': 2, 'cat': 1}"
img/56908.png,"['person', 'tie']","{'person': 1, 'tie': 1}"
img/24973.png,"['car', 'truck', 'bus']","{'car': 1, 'truck': 1, 'bus': 1}"
img/04958.png,"['dog', 'bear', 'sheep']","{'dog': 1, 'bear': 1, 'sheep': 1}"
img/60345.png,"['person', 'handbag', 'baseball bat']","{'person': 1, 'handbag': 2, 'baseball bat': 1}"
img/02356.png,"['person', 'baseball glove', 'backpack', 'potted plant', 'chair', 'handbag']","{'person': 4, 'baseball glove': 3, 'backpack': 3, 'potted plant': 3, 'chair': 1, 'handbag': 1}"
img/91806.png,"['person', 'tie']","{'person': 2, 'tie': 3}"
img/05462.png,"['person', 'tie', 'baseball glove']","{'person': 1, 'tie': 1, 'baseball glove': 1}"
img/01627.png,['person'],{'person': 1}
img/18239.png,"['person', 'tie', 'chair', 'tv', 'laptop', 'dining table', 'bench']","{'person': 1, 'tie': 1, 'chair': 3, 'tv': 2, 'laptop': 2, 'dining table': 1, 'bench': 1}"
img/49372.png,"['person', 'cow', 'truck', 'backpack', 'handbag', 'surfboard', 'frisbee', 'car', 'dog', 'tennis racket', 'bottle', 'chair', 'knife', 'sheep', 'tie', 'laptop', 'cell phone']","{'person': 21, 'cow': 1, 'truck': 2, 'backpack': 1, 'handbag': 2, 'surfboard': 1, 'frisbee': 1, 'car': 4, 'dog': 1, 'tennis racket': 1, 'bottle': 1, 'chair': 1, 'knife': 1, 'sheep': 1, 'tie': 1, 'laptop': 1, 'cell phone': 1}"
img/59167.png,"['person', 'laptop', 'cup', 'bottle', 'toothbrush', 'wine glass', 'cell phone', 'tie', 'fork', 'dining table', 'spoon', 'handbag']","{'person': 7, 'laptop': 2, 'cup': 5, 'bottle': 4, 'toothbrush': 2, 'wine glass': 5, 'cell phone': 2, 'tie': 2, 'fork': 1, 'dining table': 2, 'spoon': 2, 'handbag': 1}"
img/59287.png,"['person', 'couch', 'bed', 'banana']","{'person': 3, 'couch': 3, 'bed': 4, 'banana': 1}"
img/64279.png,"['person', 'horse', 'motorcycle', 'tie', 'bowl', 'handbag', 'potted plant', 'toilet', 'backpack', 'suitcase', 'elephant', 'frisbee', 'banana', 'bicycle', 'cell phone', 'chair', 'sink', 'vase', 'bottle', 'remote']","{'person': 40, 'horse': 18, 'motorcycle': 9, 'tie': 2, 'bowl': 2, 'handbag': 5, 'potted plant': 2, 'toilet': 1, 'backpack': 2, 'suitcase': 2, 'elephant': 2, 'frisbee': 2, 'banana': 3, 'bicycle': 2, 'cell phone': 2, 'chair': 1, 'sink': 1, 'vase': 2, 'bottle': 1, 'remote': 1}"
img/38701.png,"['person', 'bird', 'surfboard', 'dog', 'motorcycle', 'toothbrush', 'bottle', 'horse', 'elephant']","{'person': 3, 'bird': 1, 'surfboard': 2, 'dog': 1, 'motorcycle': 1, 'toothbrush': 1, 'bottle': 1, 'horse': 1, 'elephant': 1}"
img/12643.png,"['person', 'fork', 'dining table', 'knife', 'hot dog', 'carrot', 'chair', 'cake']","{'person': 2, 'fork': 4, 'dining table': 1, 'knife': 1, 'hot dog': 4, 'carrot': 2, 'chair': 1, 'cake': 2}"
img/46532.png,"['person', 'bowl', 'chair', 'tie', 'book', 'bottle', 'frisbee', 'handbag', 'remote', 'banana', 'cup', 'skateboard']","{'person': 7, 'bowl': 3, 'chair': 6, 'tie': 1, 'book': 2, 'bottle': 1, 'frisbee': 1, 'handbag': 2, 'remote': 2, 'banana': 1, 'cup': 1, 'skateboard': 1}"
img/07516.png,"['person', 'cell phone', 'clock', 'microwave', 'remote', 'toaster']","{'person': 2, 'cell phone': 1, 'clock': 1, 'microwave': 1, 'remote': 1, 'toaster': 1}"
img/93251.png,"['person', 'baseball glove', 'remote', 'teddy bear']","{'person': 1, 'baseball glove': 1, 'remote': 1, 'teddy bear': 1}"
img/31760.png,['bird'],{'bird': 2}
img/19230.png,"['person', 'bed']","{'person': 16, 'bed': 1}"
img/89251.png,"['person', 'chair', 'tie', 'cell phone', 'suitcase', 'handbag', 'parking meter', 'spoon', 'bottle', 'umbrella', 'wine glass', 'dining table']","{'person': 7, 'chair': 7, 'tie': 2, 'cell phone': 2, 'suitcase': 3, 'handbag': 4, 'parking meter': 2, 'spoon': 1, 'bottle': 2, 'umbrella': 1, 'wine glass': 1, 'dining table': 1}"
img/02789.png,"['person', 'cell phone', 'tie', 'umbrella', 'handbag', 'backpack', 'donut']","{'person': 35, 'cell phone': 5, 'tie': 1, 'umbrella': 1, 'handbag': 4, 'backpack': 3, 'donut': 1}"
img/03976.png,"['person', 'chair']","{'person': 86, 'chair': 3}"
img/07291.png,"['person', 'tie']","{'person': 2, 'tie': 1}"
img/58374.png,"['person', 'cell phone']","{'person': 3, 'cell phone': 1}"
img/78092.png,"['person', 'tie']","{'person': 1, 'tie': 1}"
img/28396.png,"['person', 'handbag', 'backpack']","{'person': 1, 'handbag': 1, 'backpack': 1}"
img/87039.png,['person'],{'person': 2}
img/94216.png,"['person', 'cell phone']","{'person': 1, 'cell phone': 2}"
img/81523.png,"['person', 'tie', 'baseball bat', 'tennis racket']","{'person': 2, 'tie': 5, 'baseball bat': 2, 'tennis racket': 2}"
img/15473.png,"['person', 'chair', 'bicycle', 'boat', 'skis', 'baseball glove', 'handbag', 'bench']","{'person': 1, 'chair': 1, 'bicycle': 1, 'boat': 3, 'skis': 1, 'baseball glove': 1, 'handbag': 1, 'bench': 1}"
img/48059.png,"['person', 'donut', 'tie', 'bird', 'hot dog', 'baseball glove', 'teddy bear']","{'person': 4, 'donut': 1, 'tie': 1, 'bird': 1, 'hot dog': 1, 'baseball glove': 1, 'teddy bear': 1}"
img/38054.png,"['person', 'boat', 'bird', 'car']","{'person': 3, 'boat': 2, 'bird': 1, 'car': 1}"
img/35870.png,"['person', 'couch', 'chair', 'hair drier', 'baseball bat', 'bench', 'remote', 'bottle']","{'person': 1, 'couch': 3, 'chair': 3, 'hair drier': 1, 'baseball bat': 1, 'bench': 2, 'remote': 1, 'bottle': 1}"
img/07392.png,['person'],{'person': 3}
img/72019.png,"['bear', 'cat', 'sheep', 'teddy bear', 'dog', 'bird']","{'bear': 1, 'cat': 1, 'sheep': 1, 'teddy bear': 1, 'dog': 1, 'bird': 1}"
img/95723.png,"['person', 'handbag', 'bottle', 'laptop', 'bed', 'backpack', 'book', 'cup', 'knife', 'cell phone', 'remote', 'teddy bear', 'suitcase', 'hair drier', 'tie', 'toothbrush']","{'person': 4, 'handbag': 2, 'bottle': 6, 'laptop': 1, 'bed': 2, 'backpack': 1, 'book': 7, 'cup': 3, 'knife': 1, 'cell phone': 2, 'remote': 1, 'teddy bear': 1, 'suitcase': 1, 'hair drier': 1, 'tie': 2, 'toothbrush': 1}"
img/01284.png,"['person', 'toothbrush', 'spoon', 'scissors', 'fork', 'knife', 'fire hydrant']","{'person': 1, 'toothbrush': 2, 'spoon': 4, 'scissors': 1, 'fork': 3, 'knife': 1, 'fire hydrant': 1}"
img/27980.png,"['person', 'bed', 'tie', 'couch', 'dog']","{'person': 3, 'bed': 3, 'tie': 1, 'couch': 1, 'dog': 1}"
img/65917.png,"['person', 'backpack', 'umbrella', 'tie', 'handbag', 'cell phone', 'toothbrush', 'kite', 'bird', 'hair drier', 'vase']","{'person': 32, 'backpack': 1, 'umbrella': 1, 'tie': 2, 'handbag': 1, 'cell phone': 2, 'toothbrush': 1, 'kite': 1, 'bird': 1, 'hair drier': 1, 'vase': 1}"
img/10548.png,"['person', 'bowl', 'cake', 'handbag', 'potted plant', 'vase', 'cup', 'backpack', 'cow']","{'person': 1, 'bowl': 1, 'cake': 1, 'handbag': 1, 'potted plant': 1, 'vase': 1, 'cup': 1, 'backpack': 1, 'cow': 1}"
img/26091.png,"['person', 'bench', 'tie', 'baseball glove', 'skateboard', 'tennis racket', 'backpack', 'handbag']","{'person': 7, 'bench': 2, 'tie': 1, 'baseball glove': 2, 'skateboard': 2, 'tennis racket': 1, 'backpack': 1, 'handbag': 1}"
img/98637.png,"['person', 'elephant', 'bird', 'frisbee', 'handbag', 'horse', 'banana', 'tie', 'backpack', 'surfboard', 'kite', 'dog', 'tennis racket', 'motorcycle', 'umbrella']","{'person': 7, 'elephant': 4, 'bird': 3, 'frisbee': 1, 'handbag': 2, 'horse': 2, 'banana': 3, 'tie': 1, 'backpack': 3, 'surfboard': 1, 'kite': 1, 'dog': 1, 'tennis racket': 1, 'motorcycle': 1, 'umbrella': 1}"
img/98653.png,['person'],{'person': 1}
img/09638.png,"['cat', 'oven', 'car', 'sink', 'bicycle', 'refrigerator']","{'cat': 2, 'oven': 2, 'car': 1, 'sink': 2, 'bicycle': 1, 'refrigerator': 1}"
img/16592.png,"['person', 'tie', 'umbrella', 'clock', 'bed']","{'person': 2, 'tie': 6, 'umbrella': 1, 'clock': 3, 'bed': 1}"
img/47693.png,"['person', 'tie', 'baseball bat', 'skateboard', 'laptop', 'cell phone', 'handbag', 'tennis racket']","{'person': 8, 'tie': 5, 'baseball bat': 1, 'skateboard': 1, 'laptop': 1, 'cell phone': 1, 'handbag': 1, 'tennis racket': 1}"
img/51263.png,"['person', 'remote', 'frisbee', 'handbag', 'cell phone', 'zebra', 'backpack', 'chair', 'knife', 'scissors', 'couch', 'car', 'bench']","{'person': 10, 'remote': 2, 'frisbee': 1, 'handbag': 3, 'cell phone': 2, 'zebra': 2, 'backpack': 2, 'chair': 1, 'knife': 1, 'scissors': 1, 'couch': 1, 'car': 1, 'bench': 1}"
img/67149.png,"['person', 'handbag', 'cell phone', 'knife', 'skateboard', 'tennis racket', 'bicycle', 'bowl', 'boat', 'surfboard', 'suitcase', 'baseball bat']","{'person': 7, 'handbag': 2, 'cell phone': 4, 'knife': 1, 'skateboard': 1, 'tennis racket': 1, 'bicycle': 1, 'bowl': 1, 'boat': 2, 'surfboard': 1, 'suitcase': 1, 'baseball bat': 1}"
img/63547.png,"['person', 'dining table', 'handbag', 'chair', 'backpack', 'bench', 'tie', 'vase', 'traffic light', 'skateboard', 'potted plant']","{'person': 17, 'dining table': 15, 'handbag': 2, 'chair': 14, 'backpack': 2, 'bench': 5, 'tie': 1, 'vase': 1, 'traffic light': 1, 'skateboard': 1, 'potted plant': 1}"
img/49267.png,"['dog', 'cow', 'sheep', 'bear']","{'dog': 1, 'cow': 1, 'sheep': 1, 'bear': 1}"
img/24351.png,"['person', 'handbag', 'dog', 'cell phone', 'baseball glove', 'sports ball', 'banana', 'bear', 'chair', 'cat', 'bench', 'backpack', 'remote']","{'person': 13, 'handbag': 3, 'dog': 1, 'cell phone': 1, 'baseball glove': 1, 'sports ball': 1, 'banana': 1, 'bear': 1, 'chair': 4, 'cat': 1, 'bench': 3, 'backpack': 1, 'remote': 1}"
img/23419.png,"['person', 'giraffe', 'horse', 'toothbrush']","{'person': 1, 'giraffe': 2, 'horse': 1, 'toothbrush': 1}"
img/30762.png,"['person', 'backpack', 'car', 'handbag', 'chair', 'tie', 'potted plant']","{'person': 18, 'backpack': 2, 'car': 7, 'handbag': 2, 'chair': 4, 'tie': 2, 'potted plant': 2}"
img/52096.png,"['person', 'scissors', 'toothbrush', 'sports ball', 'cup', 'umbrella']","{'person': 4, 'scissors': 4, 'toothbrush': 1, 'sports ball': 1, 'cup': 1, 'umbrella': 1}"
img/64735.png,"['person', 'chair', 'umbrella', 'laptop', 'handbag', 'book', 'couch', 'sports ball']","{'person': 15, 'chair': 5, 'umbrella': 4, 'laptop': 2, 'handbag': 1, 'book': 1, 'couch': 2, 'sports ball': 1}"
img/10652.png,"['person', 'tv', 'bird', 'bed']","{'person': 3, 'tv': 3, 'bird': 1, 'bed': 1}"
img/92456.png,"['person', 'sheep', 'cow', 'horse', 'donut', 'teddy bear', 'elephant', 'dog', 'hot dog', 'bird', 'bear']","{'person': 3, 'sheep': 4, 'cow': 4, 'horse': 3, 'donut': 3, 'teddy bear': 1, 'elephant': 3, 'dog': 4, 'hot dog': 1, 'bird': 1, 'bear': 1}"
img/42635.png,"['person', 'bed']","{'person': 3, 'bed': 2}"
img/47931.png,"['person', 'handbag', 'bed', 'remote']","{'person': 12, 'handbag': 1, 'bed': 1, 'remote': 1}"
img/70143.png,"['person', 'bird', 'chair', 'broccoli', 'cake']","{'person': 1, 'bird': 1, 'chair': 2, 'broccoli': 1, 'cake': 1}"
img/51863.png,"['person', 'car', 'train', 'bed', 'truck', 'remote', 'airplane', 'refrigerator', 'oven']","{'person': 3, 'car': 1, 'train': 1, 'bed': 1, 'truck': 1, 'remote': 1, 'airplane': 1, 'refrigerator': 1, 'oven': 1}"
img/02584.png,"['airplane', 'teddy bear', 'traffic light', 'kite', 'horse', 'motorcycle', 'fire hydrant', 'person']","{'airplane': 1, 'teddy bear': 1, 'traffic light': 2, 'kite': 1, 'horse': 1, 'motorcycle': 1, 'fire hydrant': 1, 'person': 1}"
img/48132.png,"['person', 'cell phone', 'toothbrush', 'spoon']","{'person': 2, 'cell phone': 1, 'toothbrush': 3, 'spoon': 1}"
img/81370.png,['person'],{'person': 1}
img/74029.png,"['traffic light', 'airplane', 'bottle', 'hair drier', 'parking meter', 'mouse']","{'traffic light': 3, 'airplane': 2, 'bottle': 1, 'hair drier': 2, 'parking meter': 1, 'mouse': 1}"
img/50643.png,"['bird', 'airplane', 'kite', 'person']","{'bird': 78, 'airplane': 8, 'kite': 4, 'person': 1}"
img/59423.png,"['person', 'horse', 'bird', 'train']","{'person': 94, 'horse': 4, 'bird': 1, 'train': 1}"
img/63502.png,"['person', 'bowl', 'backpack', 'dog', 'handbag', 'chair']","{'person': 3, 'bowl': 1, 'backpack': 2, 'dog': 1, 'handbag': 2, 'chair': 3}"
img/89360.png,"['person', 'car', 'dog', 'bus', 'truck', 'bicycle', 'backpack', 'motorcycle', 'boat', 'bench', 'handbag', 'skateboard']","{'person': 54, 'car': 7, 'dog': 11, 'bus': 1, 'truck': 4, 'bicycle': 7, 'backpack': 3, 'motorcycle': 3, 'boat': 1, 'bench': 1, 'handbag': 3, 'skateboard': 1}"
img/05219.png,"['person', 'banana', 'sandwich', 'bowl', 'cake', 'cup', 'cell phone', 'donut', 'hot dog', 'baseball glove', 'handbag', 'backpack', 'bottle', 'pizza', 'boat', 'chair', 'knife']","{'person': 10, 'banana': 4, 'sandwich': 3, 'bowl': 2, 'cake': 3, 'cup': 4, 'cell phone': 1, 'donut': 1, 'hot dog': 2, 'baseball glove': 1, 'handbag': 2, 'backpack': 2, 'bottle': 1, 'pizza': 1, 'boat': 1, 'chair': 1, 'knife': 1}"
img/61342.png,"['person', 'chair', 'cup', 'bench', 'couch']","{'person': 45, 'chair': 9, 'cup': 1, 'bench': 3, 'couch': 1}"
img/16234.png,"['person', 'handbag', 'dog', 'cell phone', 'sports ball', 'cat', 'baseball glove', 'banana', 'chair', 'tie', 'remote', 'bench']","{'person': 13, 'handbag': 4, 'dog': 1, 'cell phone': 1, 'sports ball': 1, 'cat': 1, 'baseball glove': 1, 'banana': 1, 'chair': 2, 'tie': 1, 'remote': 1, 'bench': 1}"
img/34215.png,"['person', 'donut', 'apple']","{'person': 2, 'donut': 1, 'apple': 1}"
img/10963.png,"['person', 'sports ball', 'toothbrush', 'frisbee', 'tennis racket', 'cup', 'tie', 'vase', 'stop sign', 'bottle', 'bird', 'potted plant', 'wine glass']","{'person': 2, 'sports ball': 1, 'toothbrush': 1, 'frisbee': 1, 'tennis racket': 2, 'cup': 1, 'tie': 2, 'vase': 2, 'stop sign': 1, 'bottle': 1, 'bird': 1, 'potted plant': 1, 'wine glass': 1}"
img/94380.png,"['person', 'cell phone']","{'person': 1, 'cell phone': 2}"
img/30954.png,['bottle'],{'bottle': 2}
img/05162.png,"['person', 'tie']","{'person': 1, 'tie': 1}"
img/36184.png,"['person', 'tie', 'bowl', 'handbag', 'clock', 'cup', 'cake']","{'person': 1, 'tie': 1, 'bowl': 1, 'handbag': 1, 'clock': 1, 'cup': 1, 'cake': 1}"
img/17285.png,"['person', 'oven', 'bench', 'tv', 'car', 'train']","{'person': 3, 'oven': 1, 'bench': 1, 'tv': 1, 'car': 1, 'train': 1}"
img/20815.png,"['person', 'tie', 'cell phone', 'handbag', 'toothbrush', 'remote', 'backpack', 'cup']","{'person': 55, 'tie': 1, 'cell phone': 10, 'handbag': 4, 'toothbrush': 2, 'remote': 2, 'backpack': 1, 'cup': 1}"
img/35198.png,"['person', 'chair', 'cell phone', 'bench', 'cup']","{'person': 12, 'chair': 3, 'cell phone': 1, 'bench': 1, 'cup': 1}"
img/32451.png,"['person', 'tv', 'chair', 'bottle']","{'person': 14, 'tv': 4, 'chair': 6, 'bottle': 1}"
img/58079.png,"['person', 'backpack', 'car', 'surfboard', 'bench', 'fire hydrant', 'handbag']","{'person': 28, 'backpack': 3, 'car': 1, 'surfboard': 1, 'bench': 1, 'fire hydrant': 1, 'handbag': 1}"
img/37092.png,"['person', 'teddy bear', 'cell phone', 'remote', 'bottle', 'cup', 'couch', 'bed']","{'person': 5, 'teddy bear': 3, 'cell phone': 2, 'remote': 2, 'bottle': 1, 'cup': 1, 'couch': 1, 'bed': 1}"
img/76542.png,"['person', 'refrigerator', 'train']","{'person': 2, 'refrigerator': 1, 'train': 1}"
img/17096.png,"['clock', 'car', 'person', 'orange']","{'clock': 3, 'car': 2, 'person': 1, 'orange': 1}"
img/69753.png,"['bird', 'kite', 'airplane', 'skateboard', 'surfboard']","{'bird': 1, 'kite': 1, 'airplane': 1, 'skateboard': 1, 'surfboard': 1}"
img/07652.png,"['person', 'teddy bear', 'bed']","{'person': 4, 'teddy bear': 1, 'bed': 1}"
img/39182.png,"['car', 'person', 'traffic light', 'truck', 'clock', 'orange', 'tv']","{'car': 15, 'person': 22, 'traffic light': 4, 'truck': 1, 'clock': 3, 'orange': 2, 'tv': 1}"
img/10476.png,"['person', 'tie', 'chair', 'handbag', 'dog', 'bird', 'bench', 'kite', 'tennis racket', 'backpack']","{'person': 3, 'tie': 2, 'chair': 2, 'handbag': 1, 'dog': 2, 'bird': 2, 'bench': 1, 'kite': 1, 'tennis racket': 1, 'backpack': 1}"
img/17596.png,"['person', 'parking meter', 'cell phone', 'remote', 'knife', 'tie', 'dining table']","{'person': 1, 'parking meter': 1, 'cell phone': 1, 'remote': 1, 'knife': 1, 'tie': 1, 'dining table': 1}"
img/25893.png,['person'],{'person': 1}
img/57836.png,"['bicycle', 'boat', 'fire hydrant', 'person', 'truck', 'bottle', 'oven', 'motorcycle', 'umbrella', 'potted plant', 'bird']","{'bicycle': 31, 'boat': 3, 'fire hydrant': 1, 'person': 10, 'truck': 1, 'bottle': 1, 'oven': 1, 'motorcycle': 1, 'umbrella': 1, 'potted plant': 1, 'bird': 1}"
img/32907.png,"['person', 'apple', 'backpack', 'handbag', 'bowl', 'hot dog', 'cake', 'sandwich', 'fork', 'broccoli']","{'person': 2, 'apple': 3, 'backpack': 2, 'handbag': 5, 'bowl': 1, 'hot dog': 2, 'cake': 1, 'sandwich': 1, 'fork': 1, 'broccoli': 1}"
img/18453.png,"['person', 'bed', 'couch', 'chair']","{'person': 2, 'bed': 4, 'couch': 4, 'chair': 1}"
img/26537.png,"['person', 'bottle', 'cup', 'cell phone', 'remote']","{'person': 1, 'bottle': 1, 'cup': 1, 'cell phone': 1, 'remote': 1}"
img/07689.png,"['car', 'truck', 'bench', 'potted plant', 'person']","{'car': 1, 'truck': 1, 'bench': 1, 'potted plant': 1, 'person': 3}"
img/69423.png,"['person', 'tie', 'umbrella', 'chair', 'baseball glove']","{'person': 4, 'tie': 1, 'umbrella': 2, 'chair': 1, 'baseball glove': 1}"
img/45269.png,"['person', 'book', 'chair', 'dining table', 'oven', 'bench', 'handbag', 'bed', 'couch']","{'person': 1, 'book': 18, 'chair': 10, 'dining table': 1, 'oven': 1, 'bench': 4, 'handbag': 1, 'bed': 1, 'couch': 1}"
img/29710.png,"['person', 'cell phone']","{'person': 2, 'cell phone': 4}"
img/10865.png,"['person', 'chair', 'bicycle', 'book', 'sheep', 'motorcycle', 'bear', 'teddy bear', 'dog', 'bed', 'hot dog', 'cow', 'sandwich', 'banana', 'dining table']","{'person': 10, 'chair': 10, 'bicycle': 2, 'book': 29, 'sheep': 1, 'motorcycle': 1, 'bear': 1, 'teddy bear': 1, 'dog': 1, 'bed': 1, 'hot dog': 1, 'cow': 1, 'sandwich': 1, 'banana': 1, 'dining table': 1}"
img/56291.png,"['person', 'dog', 'cat', 'bear']","{'person': 1, 'dog': 1, 'cat': 1, 'bear': 1}"
